SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,BOBN,BUBN,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
11590,동작구,10200,상도동,0900,0000,22.0,2023-01-31,전세,84.89,85000,0,상도파크자이,2016,아파트
11440,마포구,12700,상암동,1748,0000,5.0,2023-01-31,전세,24.2,17000,0,상암 오벨리스크 2차,2014,오피스텔
11440,마포구,12700,상암동,1734,0000,5.0,2023-01-31,월세,19.93,2000,50,상암 한화 오벨리스크,2013,오피스텔
11440,마포구,12700,상암동,1734,0000,5.0,2023-01-31,월세,19.93,1000,53,상암 한화 오벨리스크,2013,오피스텔
11440,마포구,12700,상암동,1596,0000,6.0,2023-01-31,전세,18.81,16500,0,"상암DMC푸르지오시티, S-City",2017,오피스텔
11440,마포구,12700,상암동,1655,0000,7.0,2023-01-31,월세,84.7,25000,180,상암월드컵파크4단지,2006,아파트
11440,마포구,11400,창전동,0444,0000,4.0,2023-01-31,전세,84.99,63000,0,서강예가,2007,아파트
11500,강서구,10300,화곡동,0061,0050,2.0,2023-01-31,전세,57.13,19000,0,서광아트빌(61-50),2008,연립다세대
11410,서대문구,11100,홍제동,0057,0005,15.0,2023-01-31,전세,59.94,50000,0,서대문푸르지오센트럴파크,2022,아파트
11650,서초구,10100,방배동,0906,0013,14.0,2023-01-31,전세,84.97,115000,0,서리풀e편한세상,2010,아파트
11710,송파구,11100,방이동,0161,0007,3.0,2023-01-31,전세,67.83,30450,0,서안빌라트,2004,연립다세대
11200,성동구,10800,응봉동,0276,0000,19.0,2023-01-31,전세,114.86,80000,0,서울숲리버그린동아아파트,2003,아파트
11200,성동구,10700,행당동,0380,0000,19.0,2023-01-31,월세,84.9,20000,224,서울숲리버뷰자이,2018,아파트
11200,성동구,11800,송정동,0104,0000,5.0,2023-01-31,월세,116.58,60000,50,서울숲아이파크,2009,아파트
11200,성동구,11400,성수동1가,0413,0001,4.0,2023-01-31,전세,89.26,33000,0,서울숲파크뷰,2006,연립다세대
11200,성동구,11200,금호동4가,0340,0000,17.0,2023-01-31,전세,84.87,70000,0,서울숲푸르지오,2007,아파트
